NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
500,15263,23255,4579,6977,13months-control-replicate_2,CTX-Ex,CTX-Ex1
501,9958,23254,2988,6977,13months-control-replicate_2,CTX-Ex,CTX-Ex1
502,5659,23239,1698,6972,13months-control-replicate_2,CTX-Ex,CTX-Ex1
503,4496,23253,1349,6976,13months-control-replicate_2,DG,DG
504,4835,23243,1451,6973,13months-control-replicate_2,CTX-Ex,CTX-Ex2
505,9276,23264,2783,6980,13months-control-replicate_2,CTX-Ex,CTX-Ex1
506,10313,23233,3094,6970,13months-control-replicate_2,CTX-Ex,CTX-Ex1
507,15035,23238,4511,6972,13months-control-replicate_2,CTX-Ex,CTX-Ex1
508,12915,23233,3875,6970,13months-control-replicate_2,CTX-Ex,CTX-Ex1
509,5280,23231,1584,6970,13months-control-replicate_2,CTX-Ex,CTX-Ex2
510,13562,23226,4069,6968,13months-control-replicate_2,CTX-Ex,CTX-Ex2
511,5024,23239,1508,6972,13months-control-replicate_2,CTX-Ex,CTX-Ex3
512,14057,23230,4217,6969,13months-control-replicate_2,CTX-Ex,CTX-Ex2
513,10659,23225,3198,6968,13months-control-replicate_2,Astro,Astro1
514,13672,23211,4102,6964,13months-control-replicate_2,CTX-Ex,CTX-Ex1
515,14879,23208,4464,6963,13months-control-replicate_2,CTX-Ex,CTX-Ex1
516,18583,23215,5575,6965,13months-control-replicate_2,Astro,Astro2
517,8949,23220,2685,6966,13months-control-replicate_2,CTX-Ex,CTX-Ex2
518,12405,23199,3722,6960,13months-control-replicate_2,Inh,Cnr1
519,10835,23190,3251,6957,13months-control-replicate_2,CTX-Ex,CTX-Ex1
520,6686,23206,2006,6962,13months-control-replicate_2,CTX-Ex,CTX-Ex1
521,6042,23201,1813,6961,13months-control-replicate_2,CTX-Ex,CTX-Ex1
522,4030,23180,1209,6954,13months-control-replicate_2,Inh,Pvalb
523,6394,23198,1919,6960,13months-control-replicate_2,Oligo,Oligo1
524,12143,23184,3643,6956,13months-control-replicate_2,CTX-Ex,CTX-Ex1
525,13792,23186,4138,6956,13months-control-replicate_2,CTX-Ex,CTX-Ex2
526,2841,23182,853,6955,13months-control-replicate_2,Inh,Lamp5
527,18890,23183,5667,6955,13months-control-replicate_2,Oligo,Oligo1
528,15327,23178,4598,6954,13months-control-replicate_2,CTX-Ex,CTX-Ex1
529,14438,23186,4332,6956,13months-control-replicate_2,CTX-Ex,CTX-Ex1
530,13036,23176,3911,6953,13months-control-replicate_2,CTX-Ex,CTX-Ex2
531,3063,23185,919,6956,13months-control-replicate_2,CTX-Ex,CTX-Ex2
532,2606,23164,782,6950,13months-control-replicate_2,Astro,Astro1
533,11198,23176,3360,6953,13months-control-replicate_2,CTX-Ex,CTX-Ex2
534,19005,23167,5702,6951,13months-control-replicate_2,SMC,S2
535,3596,23166,1079,6950,13months-control-replicate_2,CTX-Ex,CTX-Ex1
