"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Thbs1",1.01783922271311,0.00284182287298366,0.0304143673178033,0.0934368564464653,0.925556511368224,NA
"Thbs2",1.01977324803127,0.00534775159131852,0.030379981829668,0.176028794924956,0.860271320573737,NA
"Thbs3",1.02643513634181,0.00574415284593166,0.0302806911777541,0.189696886778847,0.849546660506545,NA
"Thbs4",1.07457113144643,0.0219629378957595,0.0295621822709952,0.742940345013309,0.457517798167463,0.896273036788626
"Thrsp",1.06028820736127,-0.0138103780187283,0.0298388239879692,-0.462832517270003,0.643484421285622,NA
"Thsd7a",1.04373320579182,0.00244062841876649,0.03003691972373,0.0812542844344432,0.935239729455497,NA
"Tiam1",1.02116921952125,-0.00363918957656916,0.0303795507270054,-0.119790763506392,0.904648898907889,NA
"Tiam2",1.03835946732579,0.0153481262228809,0.0300857361822117,0.510146274298434,0.609948988220135,NA
"Timp1",1.03427612278853,0.0034168773836334,0.030171240915233,0.113249481293568,0.909832767564932,NA
"Timp2",1.19275036775425,0.0428763615276977,0.0280235788458694,1.53001020189174,0.126014203718505,0.489092628182448
"Timp4",1.03589187570253,0.00787624712655854,0.0301379276656502,0.261340036844521,0.793830294103269,NA
"Tiparp",1.05039556789585,0.00160853146532514,0.0299437056473477,0.0537185171491165,0.957159429550711,NA
"Tll1",1.05394161815314,-0.00453528058815653,0.0299071718466395,-0.151645251226459,0.879466740795403,NA
"Tlr3",1.04309660163046,-0.00794261697047985,0.0300694866113513,-0.264142087729609,0.791670433858922,NA
"Tlx3",1.03513767104071,0.00332735768006765,0.0301589548419585,0.110327353766201,0.912149764510337,NA
"Tm4sf1",1.03836778394881,-0.00154794009281627,0.0301231810478373,-0.0513870062513669,0.959017138603451,NA
"Tm4sf4",1.04254943233138,0.00326328562677466,0.0300520494462455,0.108587789748308,0.913529445851318,NA
"Tmem100",1.02289041596014,-0.00317238655384851,0.0303530388402765,-0.104516274978009,0.916759653447157,NA
"Tmem107",1.0186975889145,0.00657980803331121,0.0303931831304213,0.216489599166904,0.828606131605585,NA
"Tmem114",1.0650077387081,-0.00106726562924383,0.029744225859853,-0.0358814391160325,0.971376895776282,NA
"Tmem119",1.02041772648503,-0.00252856094933238,0.0303881828285219,-0.0832086921288072,0.933685601390679,NA
"Tmem132b",1.0477066108749,-0.00844620409070765,0.0300044860382402,-0.281498042657458,0.778328429147474,NA
"Tmem132c",1.01912807370284,0.00238720850995982,0.0303962119036985,0.0785363820176999,0.937401390918564,NA
"Tmem141",1.02493238199207,0.000989802460591118,0.0303134935961551,0.0326522067623596,0.973951937026213,NA
"Tmem163",1.03836432017589,0.00596664192793592,0.0301064003092943,0.198185165500969,0.842900193506395,NA
"Tmem165",1.02482256376184,0.00694762206844239,0.0303017228633172,0.229281420722552,0.81865019299308,NA
"Tmem173",1.02911981129522,0.00206156541729706,0.0302495220136942,0.068151999769245,0.945664636714081,NA
"Tmem176a",1.02750765592763,0.00325674588016354,0.0302704731897363,0.107588205171097,0.914322353588645,NA
"Tmem176b",1.04341951693052,-0.00680230851234719,0.0300622783843137,-0.226273884679898,0.820988408684675,NA
"Tmem200a",1.06489166876141,-0.0240820210031113,0.0297976805485098,-0.808184414350857,0.418984428524088,NA
"Tmem212",1.03707131090959,0.0101756294427276,0.030115728107737,0.337884224692327,0.735450436028828,NA
"Tmem215",1.02299609354578,0.004843382402667,0.0303333757788329,0.159671723911679,0.873139676133955,NA
"Tmem233",1.02009564493852,-0.00114100849098004,0.0303898204106476,-0.0375457464230447,0.970049865470118,NA
"Tmem241",1.02976501535717,-0.00258474351207564,0.0302505453189147,-0.085444526200309,0.931907995778894,NA
"Tmem255a",1.05630178638529,-0.0104613595627091,0.02988713527896,-0.350028849037054,0.726317047112725,NA
"Tmem255b",1.02396394486487,-0.00248425869909089,0.0303356045358813,-0.0818925067457445,0.934732193176521,NA
"Tmem26",1.03277444580809,0.00561928819361239,0.0301882152905312,0.186141782133604,0.852333577041609,NA
"Tmem45b",1.03953805913719,0.00326200746894221,0.0300953541486867,0.108389070712582,0.913687070367096,NA
"Tmem54",1.01912960292235,0.00430100324074792,0.0303919056918561,0.141518050376829,0.887460701405943,NA
"Tmem72",1.02127609328237,0.00629986350382905,0.0303555456869566,0.207535834433575,0.835591409982818,NA
